variable,fecha,if_temporal,fod_temporal,autoencoder_temporal,n_metodos,clasificacion
sp,2024-09-06T12:00,1,0,0,1,unico
sp,2024-09-28T12:00,0,0,1,1,unico
sp,2024-10-03T00:00,1,0,0,1,unico
sp,2024-10-07T12:00,1,0,0,1,unico
sp,2024-10-08T00:00,1,0,0,1,unico
sp,2024-10-08T12:00,0,0,1,1,unico
sp,2024-10-09T12:00,1,1,1,3,absoluta
sp,2024-10-10T00:00,1,0,0,1,unico
sp,2024-10-10T12:00,0,0,1,1,unico
sp,2024-10-23T00:00,1,0,0,1,unico
sp,2024-10-23T12:00,1,0,0,1,unico
sp,2024-10-24T00:00,0,0,1,1,unico
sp,2024-10-24T12:00,0,0,1,1,unico
sp,2024-11-12T12:00,0,1,1,2,consenso_2_de_3
sp,2024-11-19T12:00,0,0,1,1,unico
sp,2024-11-22T12:00,0,1,1,2,consenso_2_de_3
sp,2024-11-23T00:00,0,1,1,2,consenso_2_de_3
sp,2024-11-30T00:00,1,0,0,1,unico
sp,2024-11-30T12:00,1,0,0,1,unico
t2m,2024-09-01T12:00,1,1,0,2,consenso_2_de_3
t2m,2024-09-02T00:00,0,0,1,1,unico
t2m,2024-09-03T00:00,0,0,1,1,unico
t2m,2024-09-04T00:00,0,0,1,1,unico
t2m,2024-09-07T12:00,1,0,0,1,unico
t2m,2024-09-10T12:00,1,0,0,1,unico
t2m,2024-09-16T00:00,0,0,1,1,unico
t2m,2024-09-26T12:00,1,0,0,1,unico
t2m,2024-10-06T12:00,1,0,0,1,unico
t2m,2024-10-07T12:00,1,0,0,1,unico
t2m,2024-10-17T12:00,0,0,1,1,unico
t2m,2024-10-29T00:00,0,0,1,1,unico
t2m,2024-10-30T00:00,0,0,1,1,unico
t2m,2024-10-30T12:00,0,0,1,1,unico
t2m,2024-11-13T00:00,1,1,0,2,consenso_2_de_3
t2m,2024-11-23T00:00,1,0,0,1,unico
t2m,2024-11-28T00:00,1,1,0,2,consenso_2_de_3
t2m,2024-11-28T12:00,0,0,1,1,unico
t2m,2024-11-29T00:00,1,1,1,3,absoluta
tp,2024-09-02T12:00,0,0,1,1,unico
tp,2024-09-03T12:00,0,0,1,1,unico
tp,2024-09-04T00:00,1,0,0,1,unico
tp,2024-09-04T12:00,1,1,0,2,consenso_2_de_3
tp,2024-09-05T00:00,1,0,1,2,consenso_2_de_3
tp,2024-09-05T12:00,0,1,1,2,consenso_2_de_3
tp,2024-09-20T00:00,1,1,0,2,consenso_2_de_3
tp,2024-09-22T00:00,1,0,0,1,unico
tp,2024-09-22T12:00,0,0,1,1,unico
tp,2024-10-27T00:00,0,0,1,1,unico
tp,2024-10-28T00:00,1,1,0,2,consenso_2_de_3
tp,2024-10-28T12:00,0,0,1,1,unico
tp,2024-10-29T00:00,1,0,0,1,unico
tp,2024-10-29T12:00,1,1,0,2,consenso_2_de_3
tp,2024-10-30T00:00,1,1,1,3,absoluta
tp,2024-10-30T12:00,0,1,1,2,consenso_2_de_3
tp,2024-10-31T00:00,1,0,1,2,consenso_2_de_3
wind_speed,2024-09-06T00:00,0,0,1,1,unico
wind_speed,2024-09-26T12:00,1,1,0,2,consenso_2_de_3
wind_speed,2024-10-03T00:00,1,0,0,1,unico
wind_speed,2024-10-06T00:00,0,0,1,1,unico
wind_speed,2024-10-08T12:00,1,0,0,1,unico
wind_speed,2024-10-09T00:00,0,0,1,1,unico
wind_speed,2024-10-09T12:00,1,1,1,3,absoluta
wind_speed,2024-10-10T12:00,0,0,1,1,unico
wind_speed,2024-10-17T12:00,1,1,1,3,absoluta
wind_speed,2024-10-18T12:00,1,0,0,1,unico
wind_speed,2024-10-30T00:00,1,0,1,2,consenso_2_de_3
wind_speed,2024-11-20T12:00,1,0,0,1,unico
wind_speed,2024-11-21T00:00,0,0,1,1,unico
wind_speed,2024-11-21T12:00,1,0,0,1,unico
wind_speed,2024-11-22T00:00,1,1,0,2,consenso_2_de_3
wind_speed,2024-11-27T00:00,0,0,1,1,unico
wind_speed,2024-11-27T12:00,0,0,1,1,unico
