variable,fecha,if_temporal,fod_temporal,autoencoder_temporal,n_metodos,clasificacion
sp,2024-09-06T12:00,1,0,0,1,unico
sp,2024-09-28T12:00,0,0,1,1,unico
sp,2024-10-03T00:00,1,0,0,1,unico
sp,2024-10-07T12:00,1,0,0,1,unico
sp,2024-10-08T00:00,1,0,0,1,unico
sp,2024-10-08T12:00,0,0,1,1,unico
sp,2024-10-09T12:00,1,1,1,3,absoluta
sp,2024-10-10T00:00,1,0,0,1,unico
sp,2024-10-10T12:00,0,0,1,1,unico
sp,2024-10-23T00:00,1,0,0,1,unico
sp,2024-10-23T12:00,1,0,0,1,unico
sp,2024-10-24T00:00,0,0,1,1,unico
sp,2024-10-24T12:00,0,0,1,1,unico
sp,2024-11-12T12:00,0,1,1,2,consenso_2_de_3
sp,2024-11-19T12:00,0,0,1,1,unico
sp,2024-11-22T12:00,0,1,1,2,consenso_2_de_3
sp,2024-11-23T00:00,0,1,1,2,consenso_2_de_3
sp,2024-11-30T00:00,1,0,0,1,unico
sp,2024-11-30T12:00,1,0,0,1,unico
