variable,fecha,if_temporal,fod_temporal,autoencoder_temporal,n_metodos,clasificacion
t2m,2024-09-01T12:00,1,1,0,2,consenso_2_de_3
t2m,2024-09-02T00:00,0,0,1,1,unico
t2m,2024-09-03T00:00,0,0,1,1,unico
t2m,2024-09-04T00:00,0,0,1,1,unico
t2m,2024-09-07T12:00,1,0,0,1,unico
t2m,2024-09-10T12:00,1,0,0,1,unico
t2m,2024-09-16T00:00,0,0,1,1,unico
t2m,2024-09-26T12:00,1,0,0,1,unico
t2m,2024-10-06T12:00,1,0,0,1,unico
t2m,2024-10-07T12:00,1,0,0,1,unico
t2m,2024-10-17T12:00,0,0,1,1,unico
t2m,2024-10-29T00:00,0,0,1,1,unico
t2m,2024-10-30T00:00,0,0,1,1,unico
t2m,2024-10-30T12:00,0,0,1,1,unico
t2m,2024-11-13T00:00,1,1,0,2,consenso_2_de_3
t2m,2024-11-23T00:00,1,0,0,1,unico
t2m,2024-11-28T00:00,1,1,0,2,consenso_2_de_3
t2m,2024-11-28T12:00,0,0,1,1,unico
t2m,2024-11-29T00:00,1,1,1,3,absoluta
