variable,fecha,if_temporal,fod_temporal,autoencoder_temporal,n_metodos,clasificacion
tp,2024-09-02T12:00,0,0,1,1,unico
tp,2024-09-03T12:00,0,0,1,1,unico
tp,2024-09-04T00:00,1,0,0,1,unico
tp,2024-09-04T12:00,1,1,0,2,consenso_2_de_3
tp,2024-09-05T00:00,1,0,1,2,consenso_2_de_3
tp,2024-09-05T12:00,0,1,1,2,consenso_2_de_3
tp,2024-09-20T00:00,1,1,0,2,consenso_2_de_3
tp,2024-09-22T00:00,1,0,0,1,unico
tp,2024-09-22T12:00,0,0,1,1,unico
tp,2024-10-27T00:00,0,0,1,1,unico
tp,2024-10-28T00:00,1,1,0,2,consenso_2_de_3
tp,2024-10-28T12:00,0,0,1,1,unico
tp,2024-10-29T00:00,1,0,0,1,unico
tp,2024-10-29T12:00,1,1,0,2,consenso_2_de_3
tp,2024-10-30T00:00,1,1,1,3,absoluta
tp,2024-10-30T12:00,0,1,1,2,consenso_2_de_3
tp,2024-10-31T00:00,1,0,1,2,consenso_2_de_3
