variable,fecha,if_temporal,fod_temporal,autoencoder_temporal,n_metodos,clasificacion
wind_speed,2024-09-06T00:00,0,0,1,1,unico
wind_speed,2024-09-26T12:00,1,1,0,2,consenso_2_de_3
wind_speed,2024-10-03T00:00,1,0,0,1,unico
wind_speed,2024-10-06T00:00,0,0,1,1,unico
wind_speed,2024-10-08T12:00,1,0,0,1,unico
wind_speed,2024-10-09T00:00,0,0,1,1,unico
wind_speed,2024-10-09T12:00,1,1,1,3,absoluta
wind_speed,2024-10-10T12:00,0,0,1,1,unico
wind_speed,2024-10-17T12:00,1,1,1,3,absoluta
wind_speed,2024-10-18T12:00,1,0,0,1,unico
wind_speed,2024-10-30T00:00,1,0,1,2,consenso_2_de_3
wind_speed,2024-11-20T12:00,1,0,0,1,unico
wind_speed,2024-11-21T00:00,0,0,1,1,unico
wind_speed,2024-11-21T12:00,1,0,0,1,unico
wind_speed,2024-11-22T00:00,1,1,0,2,consenso_2_de_3
wind_speed,2024-11-27T00:00,0,0,1,1,unico
wind_speed,2024-11-27T12:00,0,0,1,1,unico
