variable,latitude,longitude,if_score,criterio_if,criterio_media
t2m,40.7,-1.7,-0.550671,0,1
t2m,40.7,-1.6,-0.538958,0,1
t2m,40.7,0.7,-0.578952,1,0
t2m,40.7,0.8,-0.592726,1,0
t2m,40.6,-1.9,-0.571352,0,1
t2m,40.6,-1.8,-0.596163,1,1
t2m,40.6,-1.7,-0.602223,1,1
t2m,40.6,-1.6,-0.582809,1,1
t2m,40.6,-1.5,-0.538453,0,1
t2m,40.5,-1.9,-0.572643,0,1
t2m,40.5,-1.8,-0.625939,1,1
t2m,40.5,-1.7,-0.613635,1,1
t2m,40.5,-1.6,-0.558248,0,1
t2m,40.5,-1.5,-0.532673,0,1
t2m,40.5,-0.8,-0.538244,0,1
t2m,40.5,-0.7,-0.565738,0,1
t2m,40.5,-0.6,-0.587475,1,1
t2m,40.5,-0.5,-0.566334,0,1
t2m,40.4,-1.9,-0.584512,1,1
t2m,40.4,-1.8,-0.604648,1,1
t2m,40.4,-1.7,-0.58062,1,1
t2m,40.4,-1.6,-0.558668,0,1
t2m,40.4,-1.5,-0.550527,0,1
t2m,40.4,-0.8,-0.540311,0,1
t2m,40.4,-0.7,-0.593899,1,1
t2m,40.4,-0.6,-0.624076,1,1
t2m,40.4,-0.5,-0.61505,1,1
t2m,40.3,-1.9,-0.577322,1,1
t2m,40.3,-1.8,-0.597426,1,1
t2m,40.3,-1.7,-0.590995,1,1
t2m,40.3,-1.6,-0.5786,1,1
t2m,40.3,-1.5,-0.586843,1,1
t2m,40.3,-1.4,-0.548363,0,1
t2m,40.3,-0.5,-0.56845,0,1
t2m,40.2,-1.9,-0.569153,0,1
t2m,40.2,-1.8,-0.569088,0,1
t2m,40.2,-1.7,-0.560112,0,1
t2m,40.2,-1.6,-0.560193,0,1
t2m,40.2,-1.5,-0.549144,0,1
t2m,39.2,-0.3,-0.581344,1,0
t2m,39.2,-0.2,-0.596386,1,0
t2m,38.9,-0.1,-0.573649,1,0
t2m,38.8,0.1,-0.606192,1,0
t2m,38.7,0.1,-0.583624,1,0
t2m,38.4,-0.5,-0.579726,1,0
t2m,38.3,-0.6,-0.579202,1,1
t2m,38.2,-0.9,-0.583503,1,0
t2m,38.2,-0.8,-0.593186,1,1
t2m,38.2,-0.7,-0.604703,1,1
t2m,38.2,-0.6,-0.610298,1,1
t2m,38.1,-1.2,-0.582733,1,0
t2m,38.1,-1.1,-0.616564,1,1
t2m,38.1,-1.0,-0.641438,1,1
t2m,38.1,-0.9,-0.640453,1,1
t2m,38.1,-0.8,-0.637641,1,1
t2m,38.1,-0.7,-0.660091,1,1
t2m,38.0,-1.2,-0.582892,1,0
t2m,38.0,-1.1,-0.591481,1,0
t2m,38.0,-1.0,-0.576009,1,1
t2m,38.0,-0.9,-0.579853,1,1
t2m,38.0,-0.8,-0.600461,1,1
t2m,38.0,-0.7,-0.639895,1,1
t2m,37.9,-0.9,-0.571551,0,1
t2m,37.9,-0.8,-0.609068,1,1
t2m,37.9,-0.7,-0.632504,1,1
t2m,37.8,-1.0,-0.583465,1,1
t2m,37.8,-0.9,-0.624186,1,1
t2m,37.8,-0.8,-0.642404,1,1
wind_speed,40.9,0.0,-0.550098,1,0
wind_speed,40.9,0.2,-0.531169,1,0
wind_speed,40.9,0.5,-0.546371,1,0
wind_speed,40.9,0.6,-0.556329,1,0
wind_speed,40.9,0.7,-0.564986,1,0
wind_speed,40.9,0.8,-0.579015,1,1
wind_speed,40.8,0.0,-0.533453,1,0
wind_speed,40.8,0.5,-0.547882,1,0
wind_speed,40.8,0.6,-0.568232,1,0
wind_speed,40.8,0.7,-0.594896,1,1
wind_speed,40.7,0.0,-0.537222,1,0
wind_speed,40.7,0.4,-0.534409,1,0
wind_speed,40.7,0.5,-0.575333,1,0
wind_speed,40.7,0.6,-0.643975,1,1
wind_speed,40.7,0.7,-0.667146,1,1
wind_speed,40.7,0.8,-0.679188,1,1
wind_speed,40.6,0.0,-0.556894,1,0
wind_speed,40.6,0.1,-0.543926,1,0
wind_speed,40.6,0.2,-0.536583,1,0
wind_speed,40.6,0.3,-0.532998,1,0
wind_speed,40.6,0.4,-0.549635,1,0
wind_speed,40.6,0.5,-0.60762,1,1
wind_speed,40.5,0.4,-0.535845,1,0
wind_speed,40.5,0.5,-0.611534,1,1
wind_speed,40.4,0.4,-0.549302,1,0
wind_speed,40.0,0.0,-0.532229,1,0
wind_speed,39.8,-0.1,-0.542853,1,0
wind_speed,39.2,-0.3,-0.537065,1,0
wind_speed,39.2,-0.2,-0.57249,1,0
wind_speed,39.0,-1.5,-0.479374,0,1
wind_speed,38.9,-0.2,-0.547172,1,0
wind_speed,38.9,-0.1,-0.608949,1,1
wind_speed,38.8,-1.4,-0.494121,0,1
wind_speed,38.8,-0.1,-0.571603,1,0
wind_speed,38.8,0.0,-0.596017,1,1
wind_speed,38.8,0.1,-0.641521,1,1
wind_speed,38.7,-1.5,-0.516385,0,1
wind_speed,38.7,-1.4,-0.523577,0,1
wind_speed,38.7,-1.3,-0.515541,0,1
wind_speed,38.7,-0.4,-0.481733,0,1
wind_speed,38.7,0.0,-0.537729,1,0
wind_speed,38.7,0.1,-0.603541,1,1
wind_speed,38.4,-1.8,-0.483072,0,1
wind_speed,38.4,-0.5,-0.565288,1,0
wind_speed,38.3,-1.9,-0.48693,0,1
wind_speed,38.3,-1.8,-0.485949,0,1
wind_speed,38.3,-1.7,-0.482378,0,1
wind_speed,38.3,-1.6,-0.481693,0,1
wind_speed,38.3,-0.6,-0.562127,1,0
wind_speed,38.2,-1.9,-0.46446,0,1
wind_speed,38.2,-1.8,-0.477013,0,1
wind_speed,38.2,-1.7,-0.489137,0,1
wind_speed,38.2,-1.6,-0.491607,0,1
wind_speed,38.2,-1.5,-0.496502,0,1
wind_speed,38.2,-1.4,-0.476231,0,1
wind_speed,38.2,-0.6,-0.558521,1,0
wind_speed,38.1,-1.9,-0.453328,0,1
wind_speed,38.1,-1.8,-0.464447,0,1
