algoritmo,configuracion,base,n_anomalias,pct_anomalias,detecta_dana,fechas_anomalas
IF temporal,"contam=0.01, n=200",,4,2.2,NO,2024-09-01; 2024-11-13; 2024-11-28; 2024-11-29
IF temporal,"contam=0.03, n=200",,6,3.3,NO,2024-09-01; 2024-09-07; 2024-10-06; 2024-11-13; 2024-11-28; 2024-11-29
IF temporal,"contam=0.05, n=200",base,10,5.5,NO,2024-09-01; 2024-09-07; 2024-09-10; 2024-09-26; 2024-10-06; 2024-10-07; 2024-11-13; 2024-11-23; 2024-11-28; 2024-11-29
IF temporal,"contam=0.10, n=200",,19,10.44,NO,2024-09-01; 2024-09-02; 2024-09-06; 2024-09-07; 2024-09-08; 2024-09-09; 2024-09-10; 2024-09-12; 2024-09-26; 2024-10-01
IF temporal,"contam=0.05, n=100",,10,5.5,NO,2024-09-01; 2024-09-07; 2024-10-06; 2024-10-07; 2024-10-27; 2024-11-13; 2024-11-13; 2024-11-23; 2024-11-28; 2024-11-29
IF temporal,"contam=0.05, n=300",,10,5.5,NO,2024-09-01; 2024-09-07; 2024-09-10; 2024-09-26; 2024-10-06; 2024-10-07; 2024-11-13; 2024-11-23; 2024-11-28; 2024-11-29
AR(1) FOD,z=1.5,,30,16.57,NO,2024-09-01; 2024-09-02; 2024-09-06; 2024-09-07; 2024-09-08; 2024-09-09; 2024-09-10; 2024-09-11; 2024-09-12; 2024-09-15
AR(1) FOD,z=2.0,,4,2.21,NO,2024-09-01; 2024-11-13; 2024-11-28; 2024-11-29
AR(1) FOD,z=2.5,base,0,0.0,NO,
AR(1) FOD,z=3.0,,0,0.0,NO,
AR(1) FOD,z=3.5,,0,0.0,NO,
Autoencoder,"H=[8,4,8], contam=0.05",,10,5.53,SÍ,2024-09-16; 2024-10-01; 2024-10-30; 2024-11-17; 2024-11-18; 2024-11-19; 2024-11-28; 2024-11-29; 2024-11-29; 2024-11-30
Autoencoder,"H=[16,6,16], contam=0.05",base,10,5.53,SÍ,2024-09-02; 2024-09-03; 2024-09-04; 2024-09-16; 2024-10-17; 2024-10-29; 2024-10-30; 2024-10-30; 2024-11-28; 2024-11-29
Autoencoder,"H=[32,10,32], contam=0.05",,10,5.53,NO,2024-09-02; 2024-09-03; 2024-09-08; 2024-09-21; 2024-09-22; 2024-10-10; 2024-10-23; 2024-11-19; 2024-11-29; 2024-11-30
Autoencoder,"H=[16,6,16], contam=0.03",,6,3.31,SÍ,2024-09-02; 2024-09-03; 2024-09-16; 2024-10-17; 2024-10-30; 2024-11-28
Autoencoder,"H=[16,6,16], contam=0.08",,15,8.29,SÍ,2024-09-02; 2024-09-03; 2024-09-04; 2024-09-16; 2024-10-01; 2024-10-17; 2024-10-23; 2024-10-26; 2024-10-29; 2024-10-30
